days,titles,places,bylines,tags,urls
"November 3, 2018",Troop deployment creates tense atmosphere on US border,"BROWNSVILLE, Texas ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/d5889a081f2a4c548d7bc789a4487b20
"November 3, 2018",Trump vs. Obama in the final weekend of the midterms,WASHINGTON ,By KEN THOMAS,AP Top News,https://apnews.com/f63a7d801eb84559bfda89638b03f971
"November 2, 2018",Video of cop killer featured in new Trump campaign push,WASHINGTON ,"By JONATHAN LEMIRE, ZEKE MILLER and JILL COLVIN",AP Top News,https://apnews.com/bb1188bf7c224ee79630c2b616ec98c8
"November 2, 2018","Heat, exhaustion, illness: 1 day with the migrant caravan","PIJIJIAPAN, Mexico ",By JULIE WATSON,AP Top News,https://apnews.com/14b55fb12cc843b58a82b28cb30f8eb8
days,titles,places,bylines,tags,urls
"November 8, 2018","In the final hours of World War I, a terrible toll","VRIGNE-MEUSE, France ",By RAF CASERT,AP Top News,https://apnews.com/1fa30471966c41efac92767a824061c5
"November 8, 2018",Tesla names new board chair in settlement with regulators,DETROIT ,By TOM KRISHER,U.S. Securities and Exchange Commission,https://apnews.com/2b4c621fde3f465e8772cef94078f973
"November 8, 2018",Cybersecurity officials start focusing on the 2020 elections,WASHINGTON ,By COLLEEN LONG and MICHAEL BALSAMO,AP Top News,https://apnews.com/cfaa16f6a86349bebc16e0633d6214dd
"November 8, 2018",Christian woman acquitted of blasphemy freed in Pakistan,ISLAMABAD ,By KATHY GANNON,Pakistan,https://apnews.com/bd36a346a89b4b98b0bf0103ffcd8723
"November 8, 2018","Trump, Pelosi talk about getting along - until they don¡¯t",WASHINGTON ,By CATHERINE LUCEY and MATTHEW DALY,AP Top News,https://apnews.com/51121217c5b74d6d8be4f4fe1684f6d6
"November 8, 2018","Kim Jong Un slow walks nuke talks, woos SKorean investors","MOUNT KUMGANG, North Korea ",By ERIC TALMADGE,Mountains,https://apnews.com/4751ffc09abd4030a551e0a9f4cc796e
"November 8, 2018",Minority candidates see both success and veiled racism,WASHINGTON ,By ERRIN HAINES WHACK,Race and ethnicity,https://apnews.com/7cf05eb4829d40b9a87f2562699c6b2a
"November 8, 2018","Central American migrants debate route to US border, options",MEXICO CITY ,By MARIA VERZA and CHRISTOPHER SHERMAN,AP Top News,https://apnews.com/1c77aaf32f7c4027bbf0e10f744af75e
"November 8, 2018",Obama¡¯s health insurance overhaul a winner in midterms,WASHINGTON ,By GEOFF MULVIHILL and RICARDO ALONSO-ZALDIVAR,AP Top News,https://apnews.com/4e2d29e12ebe4fc7a2e197ff0ed3be9c
"November 8, 2018",Democratic gains over GOP after midterms come with cautions,WASHINGTON ,JUANA SUMMERS,AP Top News,https://apnews.com/e69feb96cf224b74b493827f349c229b
"November 8, 2018",Report: Google planning big New York City expansion,NEW YORK ,,AP Top News,https://apnews.com/81e226332da04ba0bd1cccc1311eb422
"November 8, 2018",Acting attorney general has questioned Mueller investigation,"IOWA CITY, Iowa ",By RYAN J. FOLEY,AP Top News,https://apnews.com/50cd512ab28a410489463b23f762fe96
"November 8, 2018","Midterms offer clues for Trump, Dems in ¡¯20 presidential bid",WASHINGTON ,By JUANA SUMMERS and THOMAS BEAUMONT,AP Top News,https://apnews.com/00908ee5c20245bba196f5ef5320cf57
"November 8, 2018","41 Latinos in Congress, 2 races still undecided",WASHINGTON ,By LUIS ALONSO LUGO,AP Top News,https://apnews.com/a8164182fd854b30a0e7e8adc2134209
"November 8, 2018","Broken voting machines, long lines under scrutiny in Georgia",ATLANTA ,By JEFF MARTIN and KATE BRUMBACK,Stacey Abrams,https://apnews.com/a2b641d6f03f41f28b2645a20200951f
"November 8, 2018",White House suspends CNN¡¯s Acosta after Trump confrontation,NEW YORK ,By DAVID BAUDER,AP Top News,https://apnews.com/acb35d90ddd740d49cf639d9d48080e4
"November 8, 2018",Kemp¡¯s campaign declares victory in Georgia¡¯s governor race,ATLANTA ,By BILL BARROW and BEN NADLER,Stacey Abrams,https://apnews.com/28e4e4d89f914c0faf909071e61526e3
"November 8, 2018",Saints sign ex-Cowboys wide receiver Dez Bryant,"METAIRIE, La. ",By BRETT MARTEL,AP Top News,https://apnews.com/5d00d560fc5d4cec829975ef7b50d105
"November 8, 2018","Hitler in war, Merkel in peace: A train car for history","COMPIEGNE, France ",By THOMAS ADAMSON,AP Top News,https://apnews.com/45ed2aad6c7a4261a92339db16fd3a79
"November 8, 2018","Red bull drawn in Indonesian cave dated to 40,000 years ago",WASHINGTON ,By CHRISTINA LARSON,Australia,https://apnews.com/9bb8e00ce67448099bcaa7a0b38edb72
"November 8, 2018",Jeff Sessions pushed out after a year of attacks from Trump,WASHINGTON ,By ERIC TUCKER and MICHAEL BALSAMO,AP Top News,https://apnews.com/bf2d24bc798e42409d5ef66f484361da
"November 8, 2018",¡®Kavanaugh and caravan¡¯: Did Trump¡¯s late pitch move voters?,WASHINGTON ,By HANNAH FINGERHUT and ZEKE MILLER,AP Top News,https://apnews.com/beab6259e08d4b6e832f993bc5537e7d
"November 8, 2018",Wisconsin Democrats rejoice: Scott Walker is finally gone,"MADISON, Wis. ",By SCOTT BAUER,AP Top News,https://apnews.com/9b28173f43b44cfa9ba64438d002f075
"November 8, 2018",The Latest: Acting attorney general says he¡¯s honored,WASHINGTON ,,AP Top News,https://apnews.com/70449a1e1bbf40179d610586b7876374
"November 7, 2018",Trump mocks GOP losers who kept their distance from him,WASHINGTON ,"By JILL COLVIN, JONATHAN LEMIRE and ZEKE MILLER",AP Top News,https://apnews.com/976df89020c040f7ad8438159af26cc2
"November 7, 2018","Migrants in caravan shrug over US vote, eye change at home",MEXICO CITY ,By CHRISTOPHER SHERMAN and MARK STEVENSON,Campaigns,https://apnews.com/57747eb3b7414675acb09f1bb1f2e4bd
"November 7, 2018","Trump, Democrats confront thorny life under divided Congress",WASHINGTON ,By CATHERINE LUCEY and MATTHEW DALY,AP Top News,https://apnews.com/49f4e16c0e674a1391525a6f7d7db43b
"November 7, 2018",Smartphone makers bet on foldable screens as next big thing,SAN FRANCISCO ,By MICHAEL LIEDTKE,Smartphones,https://apnews.com/e3cb8474411c43aa83efa562febc89b3
"November 7, 2018","In Honduras, most returnees from caravan hope to try again","SAN PEDRO SULA, Honduras ",By MARIA VERZA,AP Top News,https://apnews.com/c3b5eda9d5b14301aba7e5bef276deef
"November 7, 2018",Midterm voting exposes growing problem of aging machines,ATLANTA ,By CHRISTINA A. CASSIDY and MICHAEL LIEDTKE,New York,https://apnews.com/e1de7029cf2246ab97697ddf8f52d018
"November 7, 2018",Pimp Dennis Hof wins Nevada legislative race after death,LAS VEGAS ,By MICHELLE L. PRICE,U.S. News,https://apnews.com/afd73fee87e5442ca72b7179c593089e
"November 7, 2018","AP voter poll shows focus on Trump, immigration, health care",WASHINGTON ,By MARY CLARE JALONICK,AP Top News,https://apnews.com/222fd1571d744aec903604542eb11b70
"November 7, 2018",A Democratic House could probe Trump business ties abroad,PARIS ,By TIM SULLIVAN and ANGELA CHARLTON,AP Top News,https://apnews.com/a33be353f3e54b0585c502dd019ad5da
"November 7, 2018","79 kidnapped Cameroon students freed, says church official","YAOUNDE, Cameroon ",By EDWIN KINDZEKA MOKI,International News,https://apnews.com/edd1363688524e76843e886c6ffce0aa
"November 7, 2018",Added Democratic ranks pose threat to Trump governing agenda,WASHINGTON ,By STEVE PEOPLES and JILL COLVIN,AP Top News,https://apnews.com/f47488f3d29244a28b4806d4a3653876
"November 7, 2018","APNewsBreak: Elliott, Hynde and Gill up for Songwriters Hall",NEW YORK ,By MESFIN FEKADU,Jimmy Cliff,https://apnews.com/840b15b3384a4ab399fcb22b3d65589f
"November 7, 2018",Massachusetts backs transgender rights; Michigan OKs pot use,NEW YORK ,By DAVID CRARY,AP Top News,https://apnews.com/65d228dee0144700b0d35dc62932fc1d
"November 7, 2018","Democrats gain governors¡¯ seats, but GOP holds some states","Democrats tried Tuesday to fight their way back to power in state capitols across the country by reclaiming governor¡¯s seats in several key states, marking significant steps in their nationwide strategy to reverse years of Republican gains in state capitols.",By DAVID A. LIEB,AP Top News,https://apnews.com/9e06ae1d2f1b4571b2dd717ed0e311b5
"November 6, 2018","Amazon considers New York, Virginia amid reports of HQ split",NEW YORK ,"By JOSEPH PISANI, DAVID KLEPPER and ALAN SUDERMAN",AP Top News,https://apnews.com/c322a6093b4245f19d89a9b69b8e5f32
"November 6, 2018","Closed bank, mothballed planes: Iran mocks US sanctions list","TEHRAN, Iran ",By NASSER KARIMI and JON GAMBRELL,AP Top News,https://apnews.com/80bd3367fa3b4fe1862ea33d4cc75ae2
"November 6, 2018","With poo on a pedestal, Bill Gates talks toilet technology",BEIJING ,By MARK SCHIEFELBEIN,Bill Gates,https://apnews.com/720d930f6871420882d03eb94468297d
"November 6, 2018","Caravan migrants arrive in Mexico City, bed down in stadium",MEXICO CITY ,"By SONIA PEREZ D., MARK STEVENSON, and MARIA VERZA",AP Top News,https://apnews.com/bb335ceae7444924b97db378ed1f11b9
"November 6, 2018","Fox, NBC and Facebook turn down Trump ad deemed racist",NEW YORK ,By DAVID BAUDER,Television,https://apnews.com/c2f9567a937044bfbb0bef7eafd13c9f
"November 5, 2018",More protection: UN says Earth¡¯s ozone layer is healing,WASHINGTON ,By SETH BORENSTEIN,AP Top News,https://apnews.com/835094e7af61414981259ed69dbb185e
"November 5, 2018",Migrants camped at border worry caravans will shut them out,"MATAMOROS, Mexico ",By NOMAAN MERCHANT,AP Top News,https://apnews.com/f4d231f3a56c4156a06650245215f92d
"November 4, 2018","WWI centenary to be marked in London and Paris, not Berlin",BERLIN ,By DAVID RISING,AP Top News,https://apnews.com/2f41f82f1d1e40189057c229dcea1906
"November 4, 2018",The Latest: Trump says Democrats have a ¡®wrecking ball¡¯,"PENSACOLA, Fla. ",,AP Top News,https://apnews.com/ea0b03390c2348cf9cca138db2852b07
"November 3, 2018",AP FACT CHECK: Trump spreads distortions on immigration,WASHINGTON ,By CALVIN WOODWARD and HOPE YEN,AP Top News,https://apnews.com/a9546f6221a64a15a2fd40d07907044f
days,titles,places,bylines,tags,urls
"November 9, 2018","Eagle Scout, aspiring lawyer, father killed in bar attack","THOUSAND OAKS, Calif. ","By JONATHAN J. COOPER, AMY TAXIN and REBECCA BOONE",AP Top News,https://apnews.com/e699590c6663475ab4f5ebc8a61bd47b
"November 9, 2018","Heroism, harrowing escapes as fire destroys California town","PARADISE, Calif. ",By DON THOMPSON and JOCELYN GECKER,Wildfires,https://apnews.com/8cc9527b1d904dedbe9b39d10df99c58
"November 9, 2018",The Latest: IS claims responsibility for Australia attack,SYDNEY ,,Australia,https://apnews.com/46d8f2526a224adf84b9e22aae7ee92d
"November 9, 2018",Letter shows a fearful Einstein long before Nazis¡¯ rise,JERUSALEM ,By ARON HELLER,AP Top News,https://apnews.com/bfa505c1832144859b2a199388173ea6
"November 9, 2018",US immigration officials aim to restrict asylum at border,WASHINGTON ,By COLLEEN LONG,AP Top News,https://apnews.com/b7e5d013ce054db383d941a8355fb12d
"November 9, 2018",Kemp: I¡¯m Georgia¡¯s next governor. Democrats: Prove it,ATLANTA ,By BILL BARROW and KATE BRUMBACK,Stacey Abrams,https://apnews.com/247ca67bc2014f148edc373eee233b89
"November 9, 2018","Imelda Marcos convicted of graft, court orders her arrest","MANILA, Philippines ",By JIM GOMEZ,Imelda Marcos,https://apnews.com/ddd8994857004ea3b947921ba7fb0a44
"November 9, 2018",Democrats eye Trump¡¯s tax returns but expect a long fight,WASHINGTON ,By MARCY GORDON,Internal Revenue Service,https://apnews.com/55043fa6ab924bf2b02708a0ff2945b2
"November 9, 2018","Roethlisberger throws for 5 TDs, Steelers rip Panthers 52-21",PITTSBURGH ,By WILL GRAVES,AP Top News,https://apnews.com/1e14b2d8703f41e1a3fcc937ec74c0bd
"November 9, 2018",Wildfire devastates California town of Paradise,"PARADISE, Calif. ",By DON THOMPSON and NOAH BERGER,Wildfires,https://apnews.com/13f45d0d7c024094a9daa9173a4b4f50
"November 9, 2018","Florida faces prospect of recounts in governor, Senate races","TALLAHASSEE, Fla. ",By BRENDAN FARRINGTON,AP Top News,https://apnews.com/310d16369ba44013b284bfbd37050147
"November 9, 2018",The Latest: Calif. shooting survivor was at Vegas massacre,"THOUSAND OAKS, Calif. ",,Shootings,https://apnews.com/1c7d0ad80d7a478fbfa306751251da82
"November 9, 2018",California bar gunman went from a Marine to living with mom,"THOUSAND OAKS, Calif. ",By KATHLEEN RONAYNE and JUSTIN PRITCHARD,Los Angeles,https://apnews.com/02bebe042ba94f68b510b918d9fb6d04
"November 9, 2018","Georgia¡¯s Kemp says he¡¯s governor-elect, Abrams fights on",ATLANTA ,By BILL BARROW and KATE BRUMBACK,Stacey Abrams,https://apnews.com/90bf71450a134b638502ad7564a8271d
"November 9, 2018","A year apart, some country music fans face 2 mass shootings","THOUSAND OAKS, Calif. ",By KATHLEEN RONAYNE and AMANDA LEE MYERS,Shootings,https://apnews.com/511d87c2d847453d9a143dfbe991d5bb
"November 9, 2018",Indictments? Final report? White House braces for Mueller,WASHINGTON ,"By ERIC TUCKER, JONATHAN LEMIRE and CHAD DAY",AP Top News,https://apnews.com/a42b3eb18ef842d29d4772ee4922c731
"November 9, 2018",Acting AG Whitaker has thoughts on Mueller¡¯s Russia probe,WASHINGTON ,By LAURIE KELLMAN and ERIC TUCKER,AP Top News,https://apnews.com/3857beb3d6b543cda2343c0d84947110
"November 9, 2018",Marine combat veteran kills 12 in rampage at California bar,"THOUSAND OAKS, Calif. ",By KRYSTA FAURIA and JONATHAN J. COOPER,Shootings,https://apnews.com/d2737a3853bc4aea8a27c957c75c88ab
"November 9, 2018",Protesters nationwide seek to protect Russia investigation,NEW YORK ,,AP Top News,https://apnews.com/f81e807661a1475babefb889a53be14b
"November 9, 2018",Kim¡¯s wooing of investors and slow-walk on nukes bares rift,"MOUNT KUMGANG, North Korea ",By ERIC TALMADGE,Mountains,https://apnews.com/4751ffc09abd4030a551e0a9f4cc796e
"November 9, 2018",Central American migrants in Mexico want buses to US border,MEXICO CITY ,By MARIA VERZA and CHRISTOPHER SHERMAN,AP Top News,https://apnews.com/1c77aaf32f7c4027bbf0e10f744af75e
"November 9, 2018",Protesters target home of Fox News¡¯ Tucker Carlson,WASHINGTON ,By ASHRAF KHALIL,Media,https://apnews.com/5aa41068747f4e41b39947f761462f96
"November 9, 2018",Appeals court rules against Trump on DACA immigrant policy,SAN FRANCISCO ,By SUDHIN THANAWALA,Caribbean,https://apnews.com/fa5047f8b2934682bc2ea846a505a081
"November 9, 2018","Heroes rushed into gunfire, pulled people to safety at bar",College students out for a good time and a veteran lawman on patrol became heroes during a shooting at a country music bar by pulling people to safety and rushing into the gunfire.,By JOHN ROGERS,AP Top News,https://apnews.com/62166b2636324326b80359f1023aab89
"November 8, 2018",US immigration officials move to restrict asylum at border,WASHINGTON ,By COLLEEN LONG,AP Top News,https://apnews.com/e40c6ba2f1db4a7b95bca957fea0af38
"November 8, 2018",Democrats vow action on gun control after Calif. shooting,WASHINGTON ,By MATTHEW DALY,AP Top News,https://apnews.com/3a225c446ed341f69a78b010680e723e
"November 8, 2018",Trump triggers massive midterm turnout,WASHINGTON ,By STEVE PEOPLES and THOMAS BEAUMONT,College basketball,https://apnews.com/7703f7fee3134d889b847f529c1131f2
"November 8, 2018",APNewsBreak: Govt Olympic funds not usable for abuse probes,DENVER ,By EDDIE PELLS,Olympic Games,https://apnews.com/ce0508e3649b402aa2540bfa46712733
"November 8, 2018","LGBT triumphs: 2 governorships, at least 9 seats in Congress","On the East Coast, West Coast and in heartland states between them, LGBT candidates scored a raft of notable midterm election victories ¡ª winning two governorships, at least nine seats in Congress, and their first-ever legislative seats in Indiana, Kansas and Nebraska.",By DAVID CRARY,Kansas,https://apnews.com/482b434e8fd343d2978f1193e84eeda8
"November 8, 2018",New Tesla chairwoman¡¯s biggest challenge is controlling Musk,DETROIT ,By TOM KRISHER,AP Top News,https://apnews.com/2b4c621fde3f465e8772cef94078f973
"November 8, 2018","In the final hours of World War I, a terrible toll","VRIGNE-MEUSE, France ",By RAF CASERT,AP Top News,https://apnews.com/1fa30471966c41efac92767a824061c5
"November 8, 2018",Rockefeller Christmas tree cut down at upstate NY home,"WALLKILL, N.Y. ",,AP Top News,https://apnews.com/973e9c328a5644b78a20c154aff0b45d
"November 8, 2018",Google bows to worker pressure on sexual misconduct policy,SAN FRANCISCO ,By MICHAEL LIEDTKE,Sexual misconduct,https://apnews.com/062385e29f304a2083d5fc0f6dbec8d2
"November 8, 2018","In online ruse, fake journalists tried to hack Saudi critic",WASHINGTON ,By RAPHAEL SATTER,AP Top News,https://apnews.com/cee0e8a5338e4b51b3cdcae9301ec479
"November 8, 2018","Stephen Hawking¡¯s wheelchair sells for $393,000 at auction",LONDON ,,AP Top News,https://apnews.com/84bc4ae43f774792a42a0eee110a424e
"November 8, 2018",Woman freed in blasphemy case still in hiding in Pakistan,ISLAMABAD ,By KATHY GANNON,Pakistan,https://apnews.com/bd36a346a89b4b98b0bf0103ffcd8723
"November 8, 2018",Syria says military freed 19 hostages held by IS since July,"DAMASCUS, Syria ",By ALBERT AJI and BASSEM MROUE,AP Top News,https://apnews.com/39b027dfcf5d4705a0cd1bdb7f421b7a
"November 8, 2018",Son of Beatles¡¯ producer dives into the messy ¡®White Album¡¯,NEW YORK ,By MARK KENNEDY,Music,https://apnews.com/c60420ba486b4b5fa63eb22b0a8aed8b
"November 8, 2018",Newly empowered Dems take aim at Trump business conflicts,WASHINGTON ,By TAMI ABDOLLAH and STEPHEN BRAUN,AP Top News,https://apnews.com/99d554d996824ad49bc724802987c32e
"November 8, 2018",Obama¡¯s health insurance overhaul a winner in midterms,WASHINGTON ,By GEOFF MULVIHILL and RICARDO ALONSO-ZALDIVAR,AP Top News,https://apnews.com/4e2d29e12ebe4fc7a2e197ff0ed3be9c
"November 8, 2018","Hitler in war, Merkel in peace: A train car for history","COMPIEGNE, France ",By THOMAS ADAMSON,AP Top News,https://apnews.com/45ed2aad6c7a4261a92339db16fd3a79
"November 8, 2018","Red bull drawn in Indonesian cave dated to 40,000 years ago",WASHINGTON ,By CHRISTINA LARSON,Australia,https://apnews.com/9bb8e00ce67448099bcaa7a0b38edb72
"November 7, 2018","Migrants in caravan shrug over US vote, eye change at home",MEXICO CITY ,By CHRISTOPHER SHERMAN and MARK STEVENSON,Campaigns,https://apnews.com/57747eb3b7414675acb09f1bb1f2e4bd
"November 7, 2018","In Honduras, most returnees from caravan hope to try again","SAN PEDRO SULA, Honduras ",By MARIA VERZA,AP Top News,https://apnews.com/c3b5eda9d5b14301aba7e5bef276deef
"November 7, 2018","AP voter poll shows focus on Trump, immigration, health care",WASHINGTON ,By MARY CLARE JALONICK,AP Top News,https://apnews.com/222fd1571d744aec903604542eb11b70
"November 6, 2018","With poo on a pedestal, Bill Gates talks toilet technology",BEIJING ,By MARK SCHIEFELBEIN,Bill Gates,https://apnews.com/720d930f6871420882d03eb94468297d
"November 6, 2018","Caravan migrants arrive in Mexico City, bed down in stadium",MEXICO CITY ,"By SONIA PEREZ D., MARK STEVENSON, and MARIA VERZA",AP Top News,https://apnews.com/bb335ceae7444924b97db378ed1f11b9
"November 6, 2018","Fox, NBC and Facebook turn down Trump ad deemed racist",NEW YORK ,By DAVID BAUDER,Television,https://apnews.com/c2f9567a937044bfbb0bef7eafd13c9f
